Year,Month,Total,Average,Min,Max
1999,1,0.0,NaN,0.0,0.0
1999,2,0.0,NaN,0.0,0.0
1999,3,0.0,NaN,0.0,0.0
1999,4,0.0,NaN,0.0,0.0
1999,5,0.0,NaN,0.0,0.0
1999,6,37.4,3.7400002,15.2,0.0
1999,7,58.600002,11.72,28.0,0.0
1999,8,53.200005,3.3250003,25.6,0.0
1999,9,72.6,9.075,22.4,0.0
1999,10,35.4,4.425,17.0,0.0
1999,11,218.4,9.927273,26.4,0.0
1999,12,165.9,10.36875,35.7,0.0
2000,1,171.59999,9.533333,72.6,0.0
2000,2,1380.8002,55.232006,209.4,0.0
2000,3,661.0,38.882355,277.0,0.0
2000,4,560.60004,32.97647,197.0,0.0
2000,5,50.399998,6.2999997,29.4,0.0
2000,6,23.5,2.35,5.2,0.0
2000,7,9.599999,4.7999997,8.4,0.0
2000,8,71.0,11.833333,24.8,0.0
2000,9,8.3,1.6600001,3.7,0.0
2000,10,48.600002,4.05,18.6,0.0
2000,11,235.19998,14.699999,44.6,0.0
2000,12,481.8,20.074999,155.4,0.0
2001,1,285.2,19.013334,96.2,0.0
2001,2,892.60004,35.704002,197.2,0.0
2001,3,194.4,14.953846,41.0,0.0
2001,4,240.2,12.642105,112.6,0.0
2001,5,2.2,2.2,2.2,0.0
2001,6,86.200005,4.3100004,18.6,0.0
2001,7,4.4,1.1,2.6,0.0
2001,8,11.4,2.28,4.0,0.0
2001,9,35.0,4.375,9.6,0.0
2001,10,101.79999,20.359997,60.6,0.0
2001,11,115.6,19.266666,63.8,0.0
2001,12,71.0,14.2,53.6,0.0
2002,1,189.4,9.469999,37.8,0.0
2002,2,299.4,21.385714,95.4,0.0
2002,3,75.0,6.25,25.2,0.0
2002,4,147.79999,8.21111,37.6,0.0
2002,5,68.0,7.5555553,13.2,0.0
2002,6,1.0,1.0,1.0,0.0
2002,7,4.6,1.5333333,2.8,0.0
2002,8,67.799995,5.6499996,20.0,0.0
2002,9,8.2,1.3666667,3.2,0.0
2002,10,0.4,0.4,0.4,0.0
2002,11,16.800001,2.1000001,6.2,0.0
2002,12,71.80001,5.983334,15.6,0.0
2003,1,372.8,23.3,188.2,0.0
2003,2,148.59999,6.191666,28.2,0.0
2003,3,214.40001,13.400001,73.6,0.0
2003,4,197.6,17.963636,83.4,0.0
2003,5,117.40001,9.03077,25.2,0.0
2003,6,60.8,7.6,19.8,0.0
2003,7,35.8,2.9833333,10.8,0.0
2003,8,22.2,2.0181818,7.4,0.0
2003,9,7.4,1.85,2.4,0.0
2003,10,15.599999,3.8999999,6.6,0.0
2003,11,31.000004,3.1000004,6.2,0.0
2003,12,251.20001,14.776471,51.4,0.0
2004,1,330.80002,19.458824,169.6,0.0
2004,2,641.99994,33.78947,118.6,0.0
2004,3,979.2,54.4,172.6,0.0
2004,4,366.40002,13.085715,94.8,0.0
