Year,Month,Max,Min,Total
1999,1,0.0,0.0,0.0
1999,2,0.0,0.0,0.0
1999,3,0.0,0.0,0.0
1999,4,0.0,0.0,0.0
1999,5,0.0,0.0,0.0
1999,6,15.2,0.0,37.4
1999,7,28.0,0.0,58.6
1999,8,25.6,0.0,53.200000000000024
1999,9,22.4,0.0,72.6
1999,10,17.0,0.0,35.4
1999,11,26.4,0.0,218.4
1999,12,35.7,0.0,165.9
2000,1,72.6,0.0,171.6
2000,2,209.4,0.0,1380.8
2000,3,277.0,0.0,660.9999999999999
2000,4,197.0,0.0,560.6
2000,5,29.4,0.0,50.4
2000,6,5.2,0.0,23.499999999999996
2000,7,8.4,0.0,9.6
2000,8,24.8,0.0,71.0
2000,9,3.7,0.0,8.3
2000,10,18.6,0.0,48.60000000000001
2000,11,44.6,0.0,235.20000000000002
2000,12,155.4,0.0,481.8
2001,1,96.2,0.0,285.20000000000005
2001,2,197.2,0.0,892.6
2001,3,41.0,0.0,194.4
2001,4,112.6,0.0,240.20000000000002
2001,5,2.2,0.0,2.2
2001,6,18.6,0.0,86.19999999999999
2001,7,2.6,0.0,4.4
2001,8,4.0,0.0,11.4
2001,9,9.6,0.0,35.0
2001,10,60.6,0.0,101.80000000000001
2001,11,63.8,0.0,115.6
2001,12,53.6,0.0,71.00000000000001
2002,1,37.8,0.0,189.4
2002,2,95.4,0.0,299.3999999999999
2002,3,25.2,0.0,75.0
2002,4,37.6,0.0,147.79999999999998
2002,5,13.2,0.0,67.99999999999999
2002,6,1.0,0.0,1.0
2002,7,2.8,0.0,4.6
2002,8,20.0,0.0,67.79999999999998
2002,9,3.2,0.0,8.200000000000001
2002,10,0.4,0.0,0.4
2002,11,6.2,0.0,16.800000000000004
2002,12,15.6,0.0,71.8
2003,1,188.2,0.0,372.79999999999995
2003,2,28.2,0.0,148.6
2003,3,73.6,0.0,214.4
2003,4,83.4,0.0,197.60000000000002
2003,5,25.2,0.0,117.39999999999999
2003,6,19.8,0.0,60.8
2003,7,10.8,0.0,35.800000000000004
